consultorio_id,edicion_id,guion_id,canal,emisor_id,enviado_en,dia_semana,franja_horaria,estado_envio,minutos_primera_respuesta,hubo_respuesta,tipo_primer_respondedor,ofrecio_agendar,dio_precio,hubo_seguimiento_espontaneo,codificado_por,codificado_en,version_codificacion,excluido_del_analisis,motivo_exclusion
C-0180,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-07T13:05:00-05:00,3,mediodia,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0181,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-08T16:40:00-05:00,4,tarde,entregado,780,true,persona,no,rango,no,fixture,2026-09-14,v1,false,
C-0182,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-09T09:15:00-05:00,5,manana,entregado,26,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0185,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-10T13:05:00-05:00,1,mediodia,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0186,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-11T16:40:00-05:00,2,tarde,entregado,169,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0187,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-03T09:15:00-05:00,3,manana,entregado,370,true,persona,no_observado,no,no,fixture,2026-09-14,v1,false,
C-0188,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-04T13:05:00-05:00,4,mediodia,entregado,383,true,persona,no,rango,no,fixture,2026-09-14,v1,false,
C-0189,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-05T16:40:00-05:00,5,tarde,entregado,4,true,automatico,no,no,no,fixture,2026-09-14,v1,false,
C-0190,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-06T09:15:00-05:00,1,manana,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0191,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-07T13:05:00-05:00,2,mediodia,entregado,104,true,persona,no,rango,no_observado,fixture,2026-09-14,v1,false,
C-0192,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-08T16:40:00-05:00,3,tarde,entregado,185,true,persona,si,exacto,si,fixture,2026-09-14,v1,false,
C-0193,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-09T09:15:00-05:00,4,manana,entregado,175,true,persona,si,exacto,si,fixture,2026-09-14,v1,false,
C-0194,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-10T13:05:00-05:00,5,mediodia,entregado,26,true,persona,si,exacto,no,fixture,2026-09-14,v1,false,
C-0195,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-11T16:40:00-05:00,1,tarde,entregado,96,true,persona,no,no,no,fixture,2026-09-14,v1,false,
C-0196,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-03T09:15:00-05:00,2,manana,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0197,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-04T13:05:00-05:00,3,mediodia,entregado,292,true,persona,si,exacto,si,fixture,2026-09-14,v1,false,
C-0198,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-05T16:40:00-05:00,4,tarde,entregado,138,true,persona,no_observado,rango,no_observado,fixture,2026-09-14,v1,false,
